listing_id,date
633372,2013-10-31
633372,2013-12-24
633372,2014-01-05
633372,2014-02-15
633372,2014-04-23
633372,2014-06-20
633372,2014-07-08
633372,2014-07-11
633372,2014-09-16
633372,2014-10-02
633372,2014-10-12
633372,2014-11-02
633372,2015-02-14
633372,2015-03-08
633372,2015-04-13
633372,2015-05-06
633372,2015-05-30
633372,2015-06-07
633372,2015-06-23
633372,2015-06-28
633372,2015-07-14
633372,2015-10-08
6302726,2015-06-08
10942670,2016-03-21
7896015,2015-09-08
7896015,2015-10-01
242978,2012-12-27
242978,2013-02-26
242978,2013-11-26
242978,2014-02-10
242978,2014-03-09
242978,2014-03-24
242978,2014-05-02
242978,2014-05-13
242978,2014-07-02
242978,2014-07-19
242978,2014-08-11
242978,2014-08-23
242978,2014-09-01
242978,2014-10-10
242978,2015-01-02
242978,2015-01-21
242978,2015-02-10
242978,2015-02-21
242978,2015-05-01
242978,2015-05-27
242978,2015-06-06
242978,2015-06-13
242978,2015-06-29
242978,2015-07-08
242978,2015-07-10
242978,2015-09-15
242978,2015-11-20
242978,2015-12-05
242978,2015-12-08
242978,2015-12-18
242978,2016-01-11
242978,2016-01-19
242978,2016-01-26
242978,2016-02-01
242978,2016-02-17
242978,2016-03-05
242978,2016-03-22
4098387,2014-10-19
4098387,2015-01-05
4098387,2015-04-05
4098387,2015-09-01
4098387,2015-11-20
4098387,2016-01-01
4098387,2016-03-12
5344088,2015-03-02
5344088,2015-03-09
5344088,2015-03-16
5344088,2015-04-20
5344088,2015-04-26
5344088,2015-06-03
5344088,2015-09-28
5344088,2015-10-13
5344088,2015-10-18
5344088,2016-03-05
5344088,2016-03-24
5344088,2016-03-29
7360351,2015-07-27
7360351,2015-08-07
7360351,2015-09-12
7360351,2015-09-21
7360351,2015-09-27
7360351,2015-10-19
7360351,2015-10-24
7360351,2015-11-02
7360351,2016-03-05
7360351,2016-03-30
11365741,2016-03-23
1715719,2013-10-21
1715719,2014-05-02
1715719,2014-06-15
1715719,2014-07-17
1715719,2014-09-11
1715719,2014-10-23
1715719,2015-09-26
1715719,2015-10-01
1715719,2016-02-22
1715719,2016-03-19
7391737,2015-07-22
7284508,2015-08-07
7284508,2016-03-18
7284508,2016-03-25
8349305,2016-01-03
10229759,2016-02-15
10229759,2016-02-23
9132198,2015-11-20
9132198,2015-12-01
9132198,2015-12-15
9132198,2016-03-16
9132198,2016-03-22
638013,2015-11-29
638013,2015-12-14
638013,2015-12-20
638013,2015-12-29
638013,2016-01-05
638013,2016-01-08
638013,2016-01-09
638013,2016-01-21
638013,2016-01-25
638013,2016-01-31
638013,2016-02-03
638013,2016-02-08
638013,2016-02-11
638013,2016-02-16
638013,2016-02-18
638013,2016-02-20
638013,2016-02-24
638013,2016-03-08
638013,2016-03-13
638013,2016-03-16
638013,2016-03-19
638013,2016-03-25
2752613,2014-05-05
2752613,2014-05-14
2752613,2014-06-03
2752613,2014-07-12
2752613,2014-10-19
2752613,2015-01-02
2752613,2015-02-08
2752613,2015-02-17
2752613,2015-04-03
2752613,2015-05-02
2752613,2015-05-08
2752613,2015-05-22
2752613,2015-05-31
2752613,2015-06-08
2752613,2015-06-12
2752613,2015-06-17
2752613,2015-06-25
2752613,2015-07-06
2752613,2015-07-08
2752613,2015-07-14
2752613,2015-07-26
